stage,seed,reasons,alpha_mean,alpha_std,wage,productivity,loan_rate,deposit_rate,bank_credit_multiplier,hh_debt_cap_multiplier,firm_debt_cap_multiplier,adaptation_rate,price_elasticity,skill_wage_weight,demand_smoothing
strict,0,hh_deposit_below_min;bank_resolved_above_max,0.8018767108958532,0.0457015208501889,1.2165461152545505,1.339649319117276,0.0667402545697107,0.0236758150188659,6.9917495636532845,2.8993845497199686,2.443465846137154,0.5182856590710421,2.0759849566612694,0.3613633047849126,0.1072810286208832
strict,0,hh_deposit_below_min,0.865762506575215,0.1007628250950368,1.3582909368141942,1.3246113888005662,0.0219213482002256,0.00773888376265,8.14308198093435,3.5353935200750444,1.908691781064998,0.66297157192589,2.678703844185935,0.1008597841762868,0.1781262444523058
strict,0,employment_below_min;unemployment_above_max,0.8026691830301369,0.0398263229254117,1.2109195344677457,1.2530212752931549,0.0446886464594265,0.0158763194427238,6.241516170002229,3.604540807260702,2.5039682005853,0.3362630929775372,1.188959405479419,0.0693228149060424,0.0742726417831625
strict,0,hh_deposit_below_min,0.7007213717508272,0.0526051724297269,1.1870770752172226,1.036569656468532,0.0243177821707566,0.0117049303332346,5.639499818924352,2.6219613900227268,2.533831364933303,0.7527999682687114,2.528280421055042,0.1480101720663003,0.2417194305316005
strict,0,hh_deposit_below_min,0.6626679744301027,0.0638806670294477,1.2989355923103685,1.1273071834094253,0.0150592108663416,0.0089066516740582,10.72785618331732,2.98928110180824,4.216516245068309,0.71611354533987,2.364154010009024,0.38389432894144,0.2422595622234203
strict,0,bank_resolved_above_max,0.5990111733659561,0.0840000782993102,1.0037361697812814,1.3609195965471097,0.0610711535900809,0.0170650678641063,4.607963285868537,3.818715740161212,4.406843529258543,0.9109381914540116,2.638624056166302,0.3030321611364372,0.2654145392724407
strict,0,employment_below_min;unemployment_above_max,0.5917765998484381,0.0862366841218474,1.2086906145019272,1.4964895097201238,0.0317143786463791,0.0254363963459285,9.698473262594796,2.268804045947136,2.3643565117834684,0.5702694385475776,1.837628348394432,0.2284173919268624,0.111773852563547
strict,0,bank_resolved_above_max,0.6525286157937633,0.0416782829992227,1.188966230843541,1.2856215502911412,0.0672646388441621,0.013593275544589,6.137486566984581,3.637591454130504,3.746951982515897,0.8391004644874576,2.5651280716996547,0.4475111723772481,0.0804541239109972
strict,0,hh_deposit_below_min,0.8654734406661012,0.1112393638835644,1.130257473813882,1.5000419984578677,0.0342631558037283,0.0208432431056162,7.402753407431962,3.2442154076093344,4.37665442290381,0.7768727513687594,1.743182621549051,0.0861195767884841,0.1425746323754197
strict,1,employment_below_min;unemployment_above_max;output_below_min;consumption_below_min;bank_resolved_above_max,0.5908627977991295,0.0828829830745165,1.0560969953867216,1.2953743459430282,0.0205120483523181,0.0104245167522097,7.695515092067373,3.951042987171748,2.628648945011354,0.6624943877277172,1.8812952723208232,0.3279878033049763,0.2857941640286983
