,Employment,UnemploymentRate,WageBill,Output,Production,Consumption,HH_Deposit,HH_Debt,Firm_Debt,Firm_Cash,Inventories,AvgPrice,Bank_Equity,Bank_Loans,Bank_Deposits,Defaults,BalanceOK,scenario
191,37,0.5375,44.4,32.215022119917585,33.847835936815954,44.40000000000002,0.0,0.0,0.0,136.8561138599743,501.7197015234549,1.3814515729456054,-0.5193774595053683,0.0,136.8561138599743,0,True,cost_shock
192,36,0.55,43.199999999999996,31.344345846406302,32.936962198468144,43.20000000000002,0.0,0.0,0.0,136.85611385997433,503.31231787551667,1.3814515729456054,-0.5193774595053683,0.0,136.85611385997433,0,True,cost_shock
193,36,0.55,43.199999999999996,31.344345846406302,32.936962198468144,43.20000000000002,0.0,0.0,0.0,136.85611385997433,504.90493422757856,1.3814515729456054,-0.5193774595053683,0.0,136.85611385997433,0,True,cost_shock
194,36,0.55,43.199999999999996,31.344345846406302,32.936962198468144,43.20000000000002,0.0,0.0,0.0,136.85611385997436,506.49755057964046,1.3814515729456054,-0.5193774595053683,0.0,136.85611385997436,0,True,cost_shock
195,35,0.5625,41.99999999999999,30.47366957289501,32.019565604578524,42.000000000000014,0.0,0.0,0.0,136.85611385997436,508.04344661132393,1.3814515729456054,-0.5193774595053683,0.0,136.85611385997436,0,True,cost_shock
196,34,0.575,40.8,29.602993299383726,31.098648857344894,40.80000000000001,0.0,0.0,0.0,136.85611385997436,509.5391021692851,1.3814515729456054,-0.5193774595053683,0.0,136.85611385997436,0,True,cost_shock
197,33,0.5875,39.599999999999994,28.732317025872433,30.17549775093904,39.60000000000001,0.0,0.0,0.0,136.85611385997439,510.9822828943517,1.3814515729456054,-0.5193774595053683,0.0,136.85611385997439,0,True,cost_shock
198,33,0.5875,39.599999999999994,28.732317025872433,30.17549775093904,39.60000000000001,0.0,0.0,0.0,136.85611385997439,512.4254636194183,1.3814515729456054,-0.5193774595053683,0.0,136.85611385997439,0,True,cost_shock
199,33,0.5875,39.599999999999994,28.732317025872433,30.17549775093904,39.60000000000001,0.0,0.0,0.0,136.85611385997439,513.868644344485,1.3814515729456054,-0.5193774595053683,0.0,136.85611385997439,0,True,cost_shock
200,33,0.5875,39.599999999999994,28.732317025872433,30.17549775093904,39.60000000000001,0.0,0.0,0.0,136.85611385997439,515.3118250695516,1.3814515729456054,-0.5193774595053683,0.0,136.85611385997439,0,True,cost_shock
201,33,0.5875,39.599999999999994,28.732317025872433,30.17549775093904,39.60000000000001,0.0,0.0,0.0,136.85611385997439,516.7550057946182,1.3814515729456054,-0.5193774595053683,0.0,136.85611385997439,0,True,cost_shock
202,33,0.5875,39.599999999999994,28.732317025872433,30.17549775093904,39.60000000000001,0.0,0.0,0.0,136.85611385997439,518.1981865196849,1.3814515729456054,-0.5193774595053683,0.0,136.85611385997439,0,True,cost_shock
203,33,0.5875,39.599999999999994,28.732317025872433,30.17549775093904,39.60000000000001,0.0,0.0,0.0,136.85611385997439,519.6413672447516,1.3814515729456054,-0.5193774595053683,0.0,136.85611385997439,0,True,cost_shock
204,33,0.5875,39.599999999999994,28.732317025872433,30.17549775093904,39.60000000000001,0.0,0.0,0.0,136.8561138599744,521.084547969818,1.3814515729456054,-0.5193774595053683,0.0,136.8561138599744,0,True,cost_shock
205,33,0.5875,39.599999999999994,28.732317025872433,30.17549775093904,39.60000000000001,0.0,0.0,0.0,136.8561138599744,522.5277286948848,1.3814515729456054,-0.5193774595053683,0.0,136.8561138599744,0,True,cost_shock
206,33,0.5875,39.599999999999994,28.732317025872433,30.17549775093904,39.60000000000001,0.0,0.0,0.0,136.8561138599744,523.9709094199513,1.3814515729456054,-0.5193774595053683,0.0,136.8561138599744,0,True,cost_shock
207,33,0.5875,39.599999999999994,28.732317025872433,30.17549775093904,39.60000000000001,0.0,0.0,0.0,136.8561138599744,525.414090145018,1.3814515729456054,-0.5193774595053683,0.0,136.8561138599744,0,True,cost_shock
208,33,0.5875,39.599999999999994,28.732317025872433,30.17549775093904,39.60000000000001,0.0,0.0,0.0,136.8561138599744,526.8572708700846,1.3814515729456054,-0.5193774595053683,0.0,136.8561138599744,0,True,cost_shock
209,33,0.5875,39.599999999999994,28.732317025872433,30.17549775093904,39.60000000000001,0.0,0.0,0.0,136.85611385997444,528.3004515951512,1.3814515729456054,-0.5193774595053683,0.0,136.85611385997444,0,True,cost_shock
210,33,0.5875,39.599999999999994,28.732317025872433,30.17549775093904,39.60000000000001,0.0,0.0,0.0,136.85611385997444,529.7436323202179,1.3814515729456054,-0.5193774595053683,0.0,136.85611385997444,0,True,cost_shock
211,33,0.5875,39.599999999999994,28.732317025872433,30.17549775093904,39.60000000000001,0.0,0.0,0.0,136.85611385997444,531.1868130452846,1.3814515729456054,-0.5193774595053683,0.0,136.85611385997444,0,True,cost_shock
212,32,0.6,38.4,27.861640752361147,29.2091319938373,38.400000000000006,0.0,0.0,0.0,136.85611385997444,532.5343042867606,1.3814515729456054,-0.5193774595053683,0.0,136.85611385997444,0,True,cost_shock
213,32,0.6,38.4,27.861640752361147,29.2091319938373,38.400000000000006,0.0,0.0,0.0,136.85611385997444,533.8817955282368,1.3814515729456054,-0.5193774595053683,0.0,136.85611385997444,0,True,cost_shock
214,32,0.6,38.4,27.861640752361147,29.2091319938373,38.400000000000006,0.0,0.0,0.0,136.85611385997447,535.229286769713,1.3814515729456054,-0.5193774595053683,0.0,136.85611385997447,0,True,cost_shock
215,32,0.6,38.4,27.861640752361147,29.2091319938373,38.400000000000006,0.0,0.0,0.0,136.85611385997444,536.5767780111892,1.3814515729456054,-0.5193774595053683,0.0,136.85611385997444,0,True,cost_shock
216,32,0.6,38.4,27.861640752361147,29.2091319938373,38.400000000000006,0.0,0.0,0.0,136.85611385997447,537.9242692526653,1.3814515729456054,-0.5193774595053683,0.0,136.85611385997447,0,True,cost_shock
217,32,0.6,38.4,27.861640752361147,29.2091319938373,38.400000000000006,0.0,0.0,0.0,136.85611385997444,539.2717604941414,1.3814515729456054,-0.5193774595053683,0.0,136.85611385997444,0,True,cost_shock
218,32,0.6,38.4,27.861640752361147,29.2091319938373,38.400000000000006,0.0,0.0,0.0,136.85611385997444,540.6192517356176,1.3814515729456054,-0.5193774595053683,0.0,136.85611385997444,0,True,cost_shock
219,32,0.6,38.4,27.861640752361147,29.2091319938373,38.400000000000006,0.0,0.0,0.0,136.85611385997444,541.9667429770939,1.3814515729456054,-0.5193774595053683,0.0,136.85611385997444,0,True,cost_shock
220,32,0.6,38.4,27.861640752361147,29.2091319938373,38.400000000000006,0.0,0.0,0.0,136.85611385997444,543.3142342185699,1.3814515729456054,-0.5193774595053683,0.0,136.85611385997444,0,True,cost_shock
